iter	Passed	Remaining
412	3915	1042
413	3925	1033
414	3939	1025
415	3947	1015
416	3958	1006
417	3969	997
418	3984	988
419	3994	979
420	4005	970
421	4013	960
422	4025	951
423	4036	942
424	4047	933
425	4057	923
426	4075	916
427	4084	906
428	4094	897
429	4108	888
430	4123	880
431	4133	870
432	4146	861
433	4168	854
434	4179	845
435	4191	836
436	4200	826
437	4210	817
438	4222	807
439	4230	798
440	4242	788
441	4255	779
442	4263	769
443	4272	760
444	4283	750
445	4292	741
446	4303	731
447	4311	721
448	4326	713
449	4338	703
450	4351	694
451	4364	685
452	4375	676
453	4384	666
454	4396	657
455	4409	647
456	4423	638
457	4433	629
458	4444	619
459	4453	609
460	4467	600
461	4479	591
462	4490	581
463	4500	572
464	4510	562
465	4520	552
466	4529	543
467	4538	533
468	4548	523
469	4556	513
470	4565	504
471	4576	494
472	4584	484
473	4592	474
474	4601	465
475	4610	455
476	4619	445
477	4627	435
478	4635	425
479	4644	416
480	4654	406
481	4662	396
482	4674	387
483	4683	377
484	4694	367
485	4704	358
486	4714	348
487	4724	338
488	4736	329
489	4745	319
490	4754	309
491	4763	300
492	4773	290
493	4782	280
494	4791	271
495	4801	261
496	4810	251
497	4820	242
498	4830	232
499	4841	222
500	4850	212
501	4859	203
502	4867	193
503	4876	183
504	4883	174
505	4892	164
506	4902	154
507	4912	145
508	4920	135
509	4929	125
510	4937	115
511	4946	106
512	4953	96
513	4964	86
514	4973	77
515	4981	67
516	4989	57
517	5000	48
518	5009	38
519	5020	28
520	5028	19
521	5040	9
522	5049	0
