iter	Logloss
169	0.349960827
170	0.3494214438
171	0.3491579581
172	0.3489400464
173	0.3486294766
174	0.348346423
175	0.3481940785
176	0.3477469668
177	0.3474415259
178	0.3472075011
179	0.3470117144
180	0.3462745389
181	0.3461123131
182	0.345490722
183	0.3450044767
184	0.3447555147
185	0.3444977295
186	0.3442812542
187	0.3438608046
188	0.3434551287
189	0.3431516897
190	0.3428210894
191	0.3425246734
192	0.3422078586
193	0.3420246869
194	0.3416579821
195	0.3410424013
196	0.3404296395
197	0.3401275762
198	0.3397648335
199	0.3395948434
200	0.3392308787
201	0.3387513925
202	0.3384226083
203	0.3379346866
204	0.3376365938
205	0.3374373953
206	0.3370779939
207	0.3368302275
208	0.336607533
209	0.3361658742
210	0.3360248324
211	0.3359050227
212	0.3354492769
213	0.3352256244
214	0.3349925566
215	0.3346953124
216	0.3343517717
217	0.3341349444
218	0.3339470202
219	0.3337687831
220	0.3335214336
221	0.3334072445
222	0.3331612063
223	0.3329384396
224	0.3325113856
225	0.3322791559
226	0.3320311314
227	0.3315801168
228	0.3311902703
229	0.3309720852
230	0.3308060071
231	0.3305010469
232	0.3301638616
233	0.32992154
234	0.3298305818
235	0.329637381
236	0.3292700204
237	0.328672214
238	0.3285002879
239	0.3280663851
240	0.3279340723
241	0.3276969054
242	0.3274411072
243	0.3272684545
244	0.3269295882
245	0.326492859
246	0.3261574362
247	0.3259896045
248	0.3258387866
249	0.3255322096
250	0.3253877182
251	0.3252305283
252	0.3250012865
253	0.3248388772
254	0.3244133046
255	0.3241069431
256	0.3238213783
257	0.3236021106
258	0.3234270568
259	0.3232137044
260	0.3230035154
261	0.3227134624
262	0.3223530264
263	0.3220471816
264	0.3219198105
265	0.321721942
266	0.3215446975
267	0.3212447086
268	0.3208030658
269	0.3206994769
270	0.3205591292
271	0.3203467749
272	0.320043842
273	0.3199172835
274	0.3197000409
275	0.3194691417
276	0.3192689546
277	0.3191421688
278	0.3189775253
279	0.3188010336
280	0.3185235734
281	0.3182817242
282	0.3181594526
283	0.3178171506
284	0.3176702883
285	0.3172061604
286	0.3169374202
287	0.3167664026
288	0.3165577667
289	0.3163221651
290	0.3160193301
291	0.3157938383
292	0.3153721513
293	0.3151546574
294	0.3147038267
295	0.3143519162
296	0.3140038142
297	0.313794676
298	0.3136340643
299	0.3134288936
300	0.3132929955
301	0.313010949
302	0.3126010781
303	0.3123719438
304	0.3122021621
305	0.311968577
306	0.3116048237
307	0.3110836828
308	0.3107810534
309	0.3103850058
310	0.3101354188
311	0.3096932973
312	0.309543611
313	0.309356047
314	0.3090399245
315	0.3088218465
316	0.3085146209
317	0.3083495197
318	0.3079972885
319	0.3077884146
320	0.3076366405
321	0.3075168922
322	0.3071880768
323	0.306858787
324	0.3065390877
325	0.3063689623
326	0.306140724
327	0.3057962061
328	0.3055861014
329	0.305410032
330	0.3052293032
331	0.305017411
332	0.3047991815
333	0.3045881519
334	0.3042443226
335	0.3040614064
336	0.3038108592
337	0.3035952202
338	0.3031867795
339	0.3028687814
340	0.3026403048
341	0.3024401524
342	0.3021237506
343	0.3018919315
344	0.3014620603
345	0.3013392561
346	0.3012062277
347	0.3010032106
348	0.3006168102
349	0.3003543223
350	0.300159006
351	0.2999350972
352	0.2995608135
353	0.2994360855
354	0.2992453881
355	0.2988741777
356	0.2985499502
357	0.2982184969
358	0.2979792014
359	0.2978395625
360	0.2973392805
361	0.2971220267
362	0.2967744436
363	0.2965057016
364	0.2962919169
365	0.2961080756
366	0.295577823
367	0.2948827615
368	0.2946349342
369	0.2944603692
370	0.2942845288
371	0.2939964033
372	0.2938625412
373	0.2936775419
374	0.2934504365
375	0.2931132698
376	0.2928751676
377	0.2926167885
378	0.2922055618
379	0.2920672052
380	0.2917380819
381	0.2915984433
382	0.2913347833
383	0.2911765602
384	0.2909415174
385	0.2905378624
386	0.2903087536
387	0.2900680832
388	0.2898496723
389	0.2893817541
390	0.2891176639
391	0.2887949585
392	0.2883600868
393	0.2881785028
394	0.2877989727
395	0.2875469952
396	0.2871990214
397	0.2870854705
398	0.2868420608
399	0.2866262198
400	0.2863379034
401	0.2860424258
402	0.2858817259
403	0.28572115
404	0.28535734
405	0.2851621527
406	0.2848819539
407	0.2845474507
408	0.2843749479
409	0.2841752513
410	0.2838884332
411	0.2837390942
412	0.2835113634
413	0.2831729698
414	0.28288024
415	0.2827484423
416	0.2825181279
417	0.2821687304
418	0.2816677346
419	0.2812782227
420	0.2810579674
421	0.280706068
422	0.280216643
423	0.2800685412
424	0.2798462481
425	0.2795106411
426	0.2792865847
427	0.2787927823
428	0.2786094553
429	0.2783989333
430	0.2782151954
431	0.277848503
432	0.2776379373
433	0.2775150895
434	0.2772911178
435	0.2770049267
436	0.2766276902
437	0.276470113
438	0.2763261325
439	0.276198752
440	0.2759219503
441	0.2755285635
442	0.2753226306
443	0.2750906208
444	0.2748105393
445	0.2745300409
446	0.2743293037
447	0.2742349048
448	0.274007423
449	0.2737959404
450	0.2735143986
451	0.2733709908
452	0.2729889669
453	0.2727286405
454	0.2723032956
455	0.2719889686
456	0.2717449802
457	0.2714876802
458	0.2714080513
459	0.2711755672
460	0.2708487742
461	0.2707074701
462	0.2703673742
463	0.2699945903
464	0.2698225294
465	0.2697145399
466	0.2694451659
467	0.2692652173
468	0.2689694148
469	0.2687987338
470	0.2685467113
471	0.268400951
472	0.2679686595
473	0.2677439956
474	0.2674399059
475	0.2673028739
476	0.2671393882
477	0.2668461896
478	0.2665126324
479	0.2662092669
480	0.2660704369
481	0.2655990701
482	0.2655251783
483	0.2653120519
484	0.2649873354
485	0.2647292274
486	0.2645387797
487	0.2642589399
488	0.2637178494
489	0.2634084303
490	0.2633048763
491	0.262990345
492	0.2628401022
493	0.2625920018
494	0.2624394588
495	0.2621903027
496	0.2618424563
497	0.261550873
498	0.2613344142
499	0.2611878751
500	0.2609118517
501	0.2607695423
502	0.2606149891
503	0.2604725294
504	0.2602967303
505	0.2601716495
506	0.259869332
507	0.2596142604
508	0.2594911565
509	0.2592077092
510	0.259018576
511	0.2588077048
512	0.2586091382
513	0.2585274464
514	0.2582183765
515	0.2579762022
516	0.2576887944
517	0.2575345687
518	0.2574125263
519	0.2570628782
520	0.256757386
521	0.2564951644
522	0.2561824282
523	0.2558295736
524	0.2556565842
525	0.2553159464
526	0.255022003
527	0.2548830632
528	0.2547750177
529	0.2544640136
530	0.2540798763
531	0.2537971995
532	0.2535478778
533	0.2533081216
534	0.2532093
535	0.2530314027
536	0.2528161021
537	0.2527309258
538	0.2525715958
539	0.2522809611
540	0.2519864382
541	0.2518629966
542	0.2517350767
543	0.2514754287
544	0.2512726329
545	0.2511881811
546	0.2509930283
547	0.2508718974
548	0.2507637054
549	0.2505738351
550	0.2504985597
551	0.250335751
552	0.2501483566
553	0.2499836106
554	0.2497930941
555	0.2495900384
556	0.2493621449
557	0.2491560295
558	0.2487309793
559	0.2486393708
560	0.2483935013
561	0.2481425999
562	0.2480673169
563	0.2477530756
564	0.2476180185
565	0.24740402
566	0.2472266677
567	0.2469568729
568	0.2467212635
569	0.24649209
570	0.2463506538
571	0.2462754472
572	0.2459741486
573	0.2459041925
574	0.2455295642
575	0.245185956
576	0.2451128745
577	0.2449379868
578	0.244656317
579	0.2444184922
580	0.2443066359
581	0.2442040859
582	0.2439695011
583	0.2437154374
584	0.2436385198
585	0.2435128916
586	0.2433359874
587	0.2431349658
588	0.2428798477
589	0.2425944927
590	0.2425302306
591	0.2423475948
592	0.2422481809
593	0.2420255129
594	0.241919747
595	0.2417729368
596	0.2415535443
597	0.2413929
598	0.241113334
599	0.2409467774
600	0.240744222
601	0.2406272497
602	0.2404277691
603	0.2401949651
604	0.239984546
605	0.2396103592
606	0.2394639871
607	0.2393475593
608	0.2391290025
609	0.2390189923
610	0.238784167
611	0.2386207622
612	0.2384696746
613	0.2382187394
614	0.2380553128
