iter	Logloss
0	0.6778023954
1	0.6651602678
2	0.6499398068
3	0.6387524192
4	0.6268140809
5	0.6153355567
6	0.6049941284
7	0.5959809805
8	0.5869495998
9	0.5779566282
10	0.5679855579
11	0.5615474081
12	0.5545677171
13	0.5477813791
14	0.5414303351
15	0.5376314422
16	0.5334702374
17	0.5289687365
18	0.5239898056
19	0.518929717
20	0.5148982764
21	0.5090674119
22	0.5036892789
23	0.5001111991
24	0.4956548511
25	0.4921740331
26	0.4886873113
27	0.4856751308
28	0.4810520282
29	0.4789796865
30	0.475061624
31	0.4722141944
32	0.4686033067
33	0.4654285381
34	0.4629701949
35	0.4602737656
36	0.4567762771
37	0.4548605856
38	0.4524598222
39	0.449714009
40	0.4479132061
41	0.44556918
42	0.4425644714
43	0.4403960854
44	0.4377375636
45	0.4362024879
46	0.4338558587
47	0.4310741449
48	0.4301434477
49	0.4290006427
50	0.4275618157
51	0.4255870301
52	0.4243526937
53	0.4230886619
54	0.4218499244
55	0.4205774322
56	0.4194874886
57	0.4178704997
58	0.4168607103
59	0.4157130581
60	0.4142335001
61	0.4135288596
62	0.4128659609
63	0.4117486502
64	0.4101548048
65	0.4084473856
66	0.4064943606
67	0.4046472646
68	0.4037252653
69	0.4027487523
70	0.4018218777
71	0.4006858497
72	0.3999396015
73	0.3994223804
74	0.3989391709
75	0.3977822875
76	0.3967108481
77	0.3957247078
78	0.3949761911
79	0.3942621604
80	0.3929240262
81	0.39184334
82	0.3911771523
83	0.3908010972
84	0.3898260324
85	0.3892332157
86	0.3885415435
87	0.3874867928
88	0.3869484342
89	0.3864650526
90	0.3854694852
91	0.3843055304
92	0.3835275056
93	0.3828334554
94	0.3824315009
95	0.381939149
96	0.3813365498
97	0.3805633528
98	0.379719783
99	0.3786585476
100	0.3780689424
101	0.3776159514
102	0.3768151863
103	0.3764185514
104	0.375871498
105	0.3752474649
106	0.3748751558
107	0.3743945191
108	0.3733706502
109	0.3728416046
110	0.3725633495
111	0.3724790668
112	0.3719935275
113	0.3716222166
114	0.3712501789
115	0.3704972687
116	0.3700060462
117	0.3696787559
118	0.3691456634
119	0.3684343752
120	0.3679430909
121	0.3676733489
122	0.36732363
123	0.3664738003
124	0.366143783
125	0.3656152
126	0.3650791858
127	0.3647955766
128	0.3643632008
129	0.3642824946
130	0.363706505
131	0.3635112864
132	0.3628834813
133	0.3622462238
134	0.3619116115
135	0.3617854891
136	0.3611582501
137	0.3607722533
138	0.3601150617
139	0.3598162174
140	0.3593228682
141	0.3592738946
142	0.3590088184
143	0.358696964
144	0.358032337
145	0.3576112009
146	0.3573860997
147	0.35697584
148	0.3568105165
149	0.3566538317
150	0.3564370751
151	0.3561828298
152	0.3558171442
153	0.3556464565
154	0.3551900976
155	0.3548369598
156	0.3543059614
157	0.3541572482
158	0.3539801297
159	0.3535945271
160	0.3530766415
161	0.352879666
162	0.3524392127
163	0.3522968253
164	0.3517211964
165	0.3512841402
166	0.35085026
167	0.3505234048
168	0.3502058221
